Source.Name,Label,Counted,Area,Mean,StdDev,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity,redPunctaCount,greenPunctaCount,colocsPunctaCount
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_mask1.tif,0,45020,255,0,607.441,205.8,607.441,205.8,1154.815,507,36,214,350,0.424,11480100,11480100,1.842,0.543,0.831,9,22,3
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_mask1.tif,1,14153,255,0,239.058,133.023,239.058,133.023,481.747,177,46,120,161,0.766,3609015,3609015,1.499,0.667,0.959,2,4,0
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_mask1.tif,0,21452,255,0,324.234,232.83,324.234,232.83,604.156,243,132,164,198,0.739,5470260,5470260,1.858,0.538,0.955,3,5,0
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_mask1.tif,0,15207,255,0,890.196,220.604,890.196,220.604,468.233,827,146,129,147,0.872,3877785,3877785,1.193,0.838,0.978,2,2,0
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_mask1.tif,0,5784,255,0,789.904,354.721,789.904,354.721,300.752,748,311,89,81,0.804,1474920,1474920,1.102,0.907,0.957,0,4,0
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_mask1.tif,0,23332,255,0,257.634,460.979,257.634,460.979,671.428,170,362,191,202,0.65,5949660,5949660,1.957,0.511,0.908,5,11,1
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_mask1.tif,0,43369,255,0,474.478,602.562,474.478,602.562,1122.122,392,396,172,400,0.433,11059095,11059095,3.167,0.316,0.835,12,25,2
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_mask1.tif,0,14466,255,0,821.613,489.695,821.613,489.695,643.688,771,402,110,174,0.439,3688830,3688830,1.708,0.585,0.882,4,6,0
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_mask1.tif,0,38154,255,0,94.807,588.927,94.807,588.927,1060.95,5,407,177,343,0.426,9729270,9729270,2.609,0.383,0.864,17,9,0
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_mask1.tif,0,14045,255,0,646.35,548.296,646.35,548.296,459.546,581,477,126,147,0.836,3581475,3581475,1.237,0.808,0.964,3,5,0
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_mask1.tif,0,26869,255,0,329.066,790.111,329.066,790.111,986.465,255,611,130,346,0.347,6851595,6851595,3.652,0.274,0.773,25,22,1
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_mask1.tif,0,11392,255,0,809.96,667.632,809.96,667.632,414.936,746,612,125,110,0.831,2904960,2904960,1.186,0.843,0.971,6,2,0
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_mask1.tif,0,12457,255,0,416.616,938.68,416.616,938.68,506.291,353,849,118,170,0.611,3176535,3176535,1.979,0.505,0.863,2,3,0
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-1_mask1.tif,0,2094,255,0,25.465,963.473,25.465,963.473,173.497,2,939,48,49,0.874,533970,533970,1.045,0.957,0.971,1,0,0
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_mask1.tif,0,45787,255,0,607.109,204.269,607.109,204.269,1106.632,508,35,213,352,0.47,11675685,11675685,1.799,0.556,0.845,14,31,4
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_mask1.tif,1,13470,255,0,238.935,133.343,238.935,133.343,479.505,177,46,119,160,0.736,3434850,3434850,1.504,0.665,0.943,2,6,0
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_mask1.tif,0,15204,255,0,890.509,218.526,890.509,218.526,471.546,827,139,128,152,0.859,3877020,3877020,1.241,0.806,0.974,2,4,0
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_mask1.tif,0,21570,255,0,321.35,236.895,321.35,236.895,599.772,240,144,166,189,0.754,5500350,5500350,1.781,0.562,0.961,13,9,1
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_mask1.tif,0,24731,255,0,811.807,458.076,811.807,458.076,882.357,751,319,130,273,0.399,6306405,6306405,2.428,0.412,0.837,6,24,0
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_mask1.tif,0,22964,255,0,258.038,460.963,258.038,460.963,665.671,172,362,189,202,0.651,5855820,5855820,1.978,0.506,0.906,6,14,1
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_mask1.tif,0,45723,255,0,477.464,604.869,477.464,604.869,1087.21,394,395,173,400,0.486,11659365,11659365,2.97,0.337,0.866,21,32,4
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_mask1.tif,0,19776,255,0,89.957,510.936,89.957,510.936,694.843,5,410,183,203,0.515,5042880,5042880,1.453,0.688,0.825,14,7,0
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_mask1.tif,0,13952,255,0,646.436,549.658,646.436,549.658,454.718,582,478,125,146,0.848,3557760,3557760,1.22,0.82,0.969,4,5,0
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_mask1.tif,0,12156,255,0,811.386,667.584,811.386,667.584,434.836,745,605,126,121,0.808,3099780,3099780,1.243,0.805,0.964,8,2,0
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_mask1.tif,0,31377,255,0,326.742,797.015,326.742,797.015,959.193,239,611,146,359,0.429,8001135,8001135,3.341,0.299,0.793,29,29,4
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_mask1.tif,0,11515,255,0,413.763,939.429,413.763,939.429,697.345,353,851,118,169,0.298,2936325,2936325,2.08,0.481,0.789,10,3,0
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-2_mask1.tif,0,2036,255,0,25.981,961.605,25.981,961.605,170.083,2,937,48,47,0.884,519180,519180,1.024,0.977,0.975,3,1,1
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-3_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-3_mask1.tif,0,45311,255,0,607.402,202.324,607.402,202.324,1087.762,509,35,212,352,0.481,11554305,11554305,1.761,0.568,0.849,17,39,4
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-3_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-3_mask1.tif,1,11877,255,0,239.714,135.392,239.714,135.392,432.149,183,65,112,136,0.799,3028635,3028635,1.413,0.708,0.963,3,8,1
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-3_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-3_mask1.tif,0,14616,255,0,891.601,217.513,891.601,217.513,467.061,830,138,124,152,0.842,3727080,3727080,1.29,0.775,0.971,4,6,0
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-3_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-3_mask1.tif,0,21392,255,0,319.579,239.103,319.579,239.103,597.973,238,146,165,187,0.752,5454960,5454960,1.756,0.569,0.953,16,19,2
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-3_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-3_mask1.tif,0,28110,255,0,811.777,464.616,811.777,464.616,827.186,754,323,127,290,0.516,7168050,7168050,2.445,0.409,0.914,8,39,2
Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-3_results.csv,Corrected_241001_perisomatic-set1_A1S1H1_647-Gph_594-Syt2_405-Neun_60X-3_mask1.tif,0,22183,255,0,258.209,461.562,258.209,461.562,661.529,174,367,187,197,0.637,5656665,5656665,1.985,0.504,0.899,8,27,5
